wavelength,intensity
380,0.056134304487286214
381,0.06122959180405996
382,0.0667039780580511
383,0.0725770769659703
384,0.07886868401322225
385,0.08559868949229932
386,0.09278698335755736
387,0.1004533519334484
388,0.10861736659093849
389,0.11729826458994017
390,0.126514822373623
391,0.1362852216928317
392,0.14662690903479003
393,0.157556448928999
394,0.16908937180379296
395,0.1812400171683864
396,0.194021372996299
397,0.20744491228559
398,0.22152042786809864
399,0.23625586663254752
400,0.25165716441354385
401,0.2677280828788353
402,0.2844700498192137
403,0.3018820043078406
404,0.31996024824713154
405,0.33869830586035365
406,0.35808679271057453
407,0.3781132958403609
408,0.3987622666207033
409,0.4200149278761184
410,0.4418491968140673
411,0.46423962523018514
412,0.4871573583860032
413,0.5105701138627554
414,0.5344421815835818
415,0.5587344460673312
416,0.5834044318308125
417,0.6084063726935662
418,0.6336913055611427
419,0.6592071890707761
420,0.6848990472788363
421,0.7107091383542934
422,0.7365771480186655
423,0.7624404072427302
424,0.7882341334760361
425,0.8138916944494551
426,0.8393448933563172
427,0.864524273986731
428,0.8893594441653042
429,0.913779415627382
430,0.9377129582658411
431,0.961088966492092
432,0.9838368352837892
433,1.0058868433402652
434,1.0271705406370788
435,1.0476211375653486
436,1.0671738927614574
437,1.0857664966797622
438,1.1033394479362568
439,1.1198364194555939
440,1.1352046114879244
441,1.1493950886257942
442,1.1623630980446087
443,1.1740683663123075
444,1.1844753722638925
445,1.1935535936129849
446,1.2012777251739408
447,1.2076278667922182
448,1.2125896793253286
449,1.2161545072792366
450,1.2183194669826478
451,1.2190874994712233
452,1.218467387552171
453,1.2164737368236034
454,1.2131269207291175
455,1.2084529900328387
456,1.2024835474003348
457,1.1952555880629805
458,1.1868113078243854
459,1.1771978799343301
460,1.1664672026054563
461,1.1546756191781116
462,1.1418836131469292
463,1.1281554804469196
464,1.1135589815552878
465,1.0981649760965915
466,1.08204704274213
467,1.0652810872690006
468,1.0479449416898052
469,1.0301179573806034
470,1.0118805951228507
471,0.9933140149355342
472,0.9744996685076188
473,0.9555188969496936
474,0.9364525364690315
475,0.9173805344361172
476,0.898381578155194
477,0.8795327384788747
478,0.8609091302198241
479,0.8425835911135299
480,0.8246263808778659
481,0.8071049017001722
482,0.7900834412636004
483,0.7736229392040613
484,0.7577807776698017
485,0.7426105964398217
486,0.7281621328472526
487,0.7144810865515552
488,0.7016090090108374
489,0.6895832173244028
490,0.6784367319472948
491,0.6681982376242863
492,0.6588920667514694
493,0.6505382042500558
494,0.6431523129296665
495,0.6367457782275556
496,0.6313257711358536
497,0.6268953280708739
498,0.6234534463963644
499,0.6209951942857388
500,0.619511833596029
501,0.6189909544276453
502,0.6194166200580122
503,0.620769520962601
504,0.6230271366726144
505,0.6261639042633245
506,0.6301513923194855
507,0.634958479283069
508,0.6405515351524234
509,0.6468946055696089
510,0.6539495974028209
511,0.6616764650023135
512,0.6700333963799641
513,0.6789769986335377
514,0.6884624820058886
515,0.6984438420359603
516,0.7088740393217586
517,0.7197051764749146
518,0.7308886719014838
519,0.7423754300939094
520,0.7541160081643058
521,0.7660607783892632
522,0.7781600865711706
523,0.7903644060506403
524,0.8026244872291305
525,0.8148915024805192
526,0.8271171863454656
527,0.8392539709132422
528,0.8512551163027576
529,0.8630748361581283
530,0.8746684180748975
531,0.8859923388713224
532,0.8970043746155677
533,0.9076637053146713
534,0.9179310141652876
535,0.9277685812599503
536,0.9371403716364108
537,0.9460121175519368
538,0.9543513948596963
539,0.9621276933608884
540,0.9693124810044298
541,0.9758792618060375
542,0.9818036273607169
543,0.9870633018271147
544,0.9916381802690986
545,0.995510360249323
546,0.9986641665814872
547,1.0010861691624582
548,1.0027651938223576
549,1.0036923261499877
550,1.0038609082724554
551,1.0032665285913567
552,1.0019070045031906
553,0.999782358158554
554,0.9968947853428218
555,0.9932486175902051
556,0.9888502776729524
557,0.9837082286377415
558,0.9778329165916516
559,0.9712367074702247
560,0.9639338180496646
561,0.9559402414939077
562,0.9472736677548098
563,0.9379533991697475
564,0.9280002616252779
565,0.9174365116778568
566,0.9062857400428006
567,0.8945727718804474
568,0.8823235643236824
569,0.8695651017034925
570,0.8563252889388682
571,0.8426328435641123
572,0.8285171868703811
573,0.8140083346390276
574,0.7991367879420704
575,0.7839334244798809
576,0.7684293909180275
577,0.7526559966742439
578,0.7366446095927628
579,0.7204265539269694
580,0.7040330110325729
581,0.6874949231524907
582,0.6708429006515464
583,0.654107133034125
584,0.6373173040513094
585,0.6205025111759717
586,0.6036911896950565
587,0.5869110416380929
588,0.5701889697300568
589,0.5535510165253258
590,0.5370223088478511
